"Data Source","World Development Indicators",

"Last Updated Date","2022-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Thailand","THA","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","51.1060433295323","48.0202190395955","47.2852304218414","58.0949778445158","57.8459301482656","63.5035115948802","65.2594107749846","64.353473831725","62.8512645523883","62.2069559986034","61.6113132696611","64.8411287187208","66.0324280769786","69.0176069227861","70.5902322783637","68.7360779758275","63.6145580470533","55.5803270892858","51.8325464854393","53.0668406327666","54.8410207187951","54.4104796930117","49.0461342793008","47.2197694162465","48.3269766362247","54.2815548536088","54.7138870804719","51.6266041551687","50.0566557066045","53.0483381518954","48.4302292943959","54.8650824064248","55.7833011894734","55.4092908414249","53.6262033312932","58.9577473662143","65.8972439327762","66.3735927566485","69.4815446051779","67.5021028394112","71.4602599531177","70.5339002773539","74.1170167586188","73.0583361673424","74.036886436783","45.2461684512868","",
"Thailand","THA","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","6.04299825682743","4.60921843687375","4.1938004688721","3.8679731820526","5.89390962671906","16.2762273375433","13.141862489121","8.1112737920937","8.17417876241406","5.54783250113482","2.85239389798994","5.41758812795321","7.03811228701548","2.56288804967036","7.72162012661081","8.77083806495571","6.2346193671584","10.1761269308762","9.14385827350469","8.20420839980742","7.37321374441639","10.695906366167","10.4283338693696","10.9003219981802","13.2869850591588","9.39407348096954","7.52744598828129","6.67691506488586","7.5717210066188","6.87042455965902","5.66548479220704","5.4979436389313","5.45960079093291","4.99041842877777","4.63389589395307","4.99838252870584","4.40727228531051","4.36668703699406","4.88576910497178","5.70058245372691","5.8244185253673","6.14424198295457","6.18563839057704","6.56417512119871","7.62239393889859","8.23154606851728","8.76746431093512","10.0905318148139","11.1954612010643","11.4529864503854","11.3236471568724","11.9820200515867","11.8883132418465","11.744765024929","11.7143862600414","11.0650143750148","10.8097856840786","11.3461599398114","11.3851415738587","10.7974331315972","9.22088278780054","",
"Thailand","THA","Transport services (% of commercial service imports)","TM.VAL.TRAN.ZS.WT","","","","","","","","","","","","","","","","58.0193584513238","54.3488544975334","63.1049467230193","63.4031031491731","64.7409101419684","65.8675972186022","64.7675453470273","63.041515010536","63.3538323790672","64.129858243043","64.6466413713936","63.4635345207513","64.8447270818159","64.5291655118283","65.3377195937624","58.0460148043065","53.2845464597792","44.2640130342988","40.6656529638497","38.489361391813","41.7623610577514","40.6209669276214","40.1896199047976","38.7717383885899","39.3972005459055","44.1014652118164","47.1840530564126","42.9686125060506","47.1354710135509","47.2733861473203","54.1768755060645","49.787339379346","47.756352033727","50.1746072891965","43.3429878935378","45.9078813206839","45.930892351072","47.8740592274112","45.3143852001283","42.4264824392272","37.1072375445156","34.8734424941468","36.2821076341743","34.6400587654088","33.3988517776361","39.0506770431111","",
"Thailand","THA","Merchandise imports from economies in the Arab World (% of total merchandise imports)","TM.VAL.MRCH.AL.ZS","0.391705069124424","0.0213492741246798","0.0555452693945566","0.169090294217112","0.869565217391304","0.668616798997075","0.748018309701909","1.01038715769594","2.2671568627451","2.2630596566558","2.81320272310014","4.70757274953457","5.81838761402989","5.90886723747663","17.0360124016218","15.546658473269","17.240114670937","16.009342574798","13.2684978216986","13.7598159774662","17.2494104221312","18.3282562123171","18.9757017667182","12.9957755025829","9.94786515990898","7.8842260469822","5.49762475869225","5.38517630046034","4.06869420971311","4.1846550756914","3.56695394934806","2.83004174437441","3.0668716638734","3.0236603527498","3.04292364651495","2.97869335264795","4.35136259041226","6.29099980906174","7.28140839503125","7.98698407303991","9.293235407666","9.11054505271649","8.16759567088088","9.38482174013497","11.1313991569383","12.664673513454","13.9594698472493","13.0602539492123","15.6395924110332","12.3427115249306","11.5306508786145","13.0612079459014","13.0620239366268","14.3127317040432","12.9838363426139","8.92388630903414","7.39768893097492","7.89913386572615","9.43908006239649","8.1175259693459","6.34056538108667","",
"Thailand","THA","Binding coverage, primary products (%)","TM.TAX.TCOM.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.11","","","","82.13","82.13","82.13","","82.37","82.37","82.37","82.37","83.26","83.26","83.26","83.26","83.26","","85.44","85.44","85.44","","","","","","",
"Thailand","THA","Binding coverage, manufactured products (%)","TM.TAX.MANF.BC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.17","","","","73.35","73.35","73.35","","72.97","72.97","72.97","72.97","73.16","73.16","73.16","73.16","73.16","","73.44","73.44","73.44","","","","","","",
"Thailand","THA","Urban population growth (annual %)","SP.URB.GROW","","3.52636490481582","3.53991390934376","3.55246301150105","3.55377649238224","3.55374719420225","3.53929554955564","3.52299201486583","3.5000641492215","3.47672943153947","3.97238087398126","5.49561954914467","5.44071185259018","5.3503285959381","5.24253250821451","5.10214611830313","4.97551412438704","4.83646915159988","4.71789769601721","4.60714038948885","4.14509729206585","2.94760502505391","2.85832625370708","2.79787736713752","2.76831284701189","2.74820242520445","2.75789081859433","2.74349623589317","2.67302687110925","2.52162566993115","2.27678747038918","1.7578432392132","1.57862406463903","1.4799259543736","1.48677694125606","1.56688950302287","1.67838069610116","1.75092187467704","1.76978803780637","1.71528475084669","2.38194325894661","4.56282235444977","4.40954928025066","4.26306626590975","4.14184176645201","4.02171277434503","3.92175699477365","3.8086082474163","3.70866885158336","3.60935451216024","3.52924359815393","2.38177508348844","2.12667717502957","2.08636411484452","2.04142288941411","1.98928888012459","1.94156013754868","1.88546106272637","1.82629129954117","1.76009094466907","1.69551994112433","",
"Thailand","THA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.41546","72.46093","","167.22695","","278.72559","","280.62026","","313.4698","","323.22955","","329.01211","","538.51997","","790.89267","963.8546","864.67908","1208.45903","1350.34325","","","","",
"Thailand","THA","Population ages 65 and above, female (% of female population)","SP.POP.65UP.FE.ZS","3.76581460163007","3.77614387202544","3.79705758810174","3.82415598111764","3.85052008096989","3.87259762507391","3.88948947334006","3.90015269275153","3.9085283423739","3.92017700397442","3.93806592519295","3.95326129032088","3.9743540848847","3.99829786163376","4.02012240858114","4.03777017689128","4.07280510474656","4.10165239220432","4.12760126834846","4.15447249870254","4.18470284850005","4.2225569959775","4.26244096160743","4.3062947371457","4.3554470452071","4.41176983536304","4.4837814656705","4.56568165527611","4.66340879877467","4.78447907169251","4.93424655633512","5.10289928817428","5.28988853634303","5.49284617325944","5.70837399534148","5.93520597161139","6.14329557625107","6.35777953910644","6.58190683027746","6.81980165268995","7.07330133338757","7.3372114376915","7.61362912249864","7.89439779360218","8.16827680563933","8.43146349686066","8.67309103468136","8.90959579713151","9.15260353587148","9.41488071011971","9.70385234799002","10.032954608686","10.3870628640258","10.7703211434721","11.1868653100225","11.6396844368111","12.0840832431629","12.5586387564936","13.070383428671","13.6286641358304","14.2388700002048","",
"Thailand","THA","Population ages 30-34, male (% of male population)","SP.POP.3034.MA.5Y","6.71574421217711","6.71536476238736","6.68595602956356","6.6432902673016","6.60944542329731","6.59469981022577","6.58423193437935","6.59441280873622","6.60424785372471","6.58455554637161","6.52199749741299","6.39717943152417","6.2433323026843","6.08601110863422","5.96622366262781","5.91122237115732","5.91901672842994","5.97617431488731","6.06954390580232","6.18302305034517","6.30997122502422","6.474428405203","6.65251587843388","6.83937433240825","7.02525465518412","7.20072965319112","7.37126634532899","7.53147367134062","7.67920659258883","7.81107501353915","7.92356864942813","8.02466649861882","8.09527389552965","8.1500211673117","8.20927828691039","8.28089575945449","8.47885278215382","8.66009343138881","8.8028952674426","8.87092497152354","8.83735559324716","8.80706681992689","8.73597951991441","8.64019041589474","8.54292118090694","8.454870519678","8.39143681192405","8.33306207289942","8.27672473571144","8.21285498778246","8.12844529967998","7.97920842777276","7.80623980869319","7.60324318660709","7.37278927163776","7.1277381393531","6.95909415933577","6.80103055757635","6.66970213001153","6.58882509007709","6.57044708747497","",
